park_name,fountain_number,location_description,address,2017_initial_result,2017_initial_sample_date,2017_follow_up_result,2017_follow_up_sample_date,2017_epa_first_draw_result,2017_epa_first_draw_sample_date,follow_up_field_result,follow_up_field_sample_date,unmarked_result,unmarked_sample_date,2016_epa_first_draw_result,2016_epa_flush_30_sec,2016_epa_flush_10_min,status,indoor_outdoor
ALGONQUIN,Algonquin  #1 - High,northwest corner on washtenaw,2941 N WASHTENAW AVE,2.0,2017-04-18,,,,,,,,,6.64,,,Passed testing - returned to normal push-button operation,O
ALGONQUIN,Algonquin  #1 - Middle,northwest corner on washtenaw,2941 N WASHTENAW AVE,2.0,2017-04-18,,,,,,,,,6.65,,,Passed testing - returned to normal push-button operation,O
ALGONQUIN,Algonquin  #1 - Low,northwest corner on washtenaw,2941 N WASHTENAW AVE,2.0,2017-04-18,,,,,,,,,6.67,,,Passed testing - returned to normal push-button operation,O
ALTGELD (JOHN),Altgeld  #1 - High,north side of field house,515 S WASHTENAW AVE,2.0,2017-04-06,,,2.0,2017-05-23,,,,,,,,Passed testing - returned to normal push-button operation,O
ALTGELD (JOHN),Altgeld  #1 - Low,north side of field house,515 S WASHTENAW AVE,,,,,2.0,2017-05-23,,,,,,,,Passed testing - returned to normal push-button operation,O
ALTGELD (JOHN),Altgeld  #2,on pool deck near lifeguard room,515 S WASHTENAW AVE,2.0,2017-06-16,,,2.0,2017-07-08,,,,,2.1,,,Passed testing - returned to normal push-button operation,O
ALTGELD (JOHN),Altgeld  #3 - High,southwest area of football field,515 S WASHTENAW AVE,2.0,2017-04-06,,,,,,,,,2.01,,,Passed testing - returned to normal push-button operation,O
ALTGELD (JOHN),Altgeld  #3 - Low,southwest area of football field,515 S WASHTENAW AVE,2.0,2017-04-06,,,,,,,,,0.12,,,Passed testing - returned to normal push-button operation,O
AMUNDSEN (ROALD),Amundsen  #1,"east end of park, on mcvicker",6200 W BLOOMINGDALE AVE,2.82,2017-04-29,2.0,2017-05-16,2.0,2017-08-09,,,,,156.0,,,Passed testing - returned to normal push-button operation,O
AMUNDSEN (ROALD),Amundsen  #2 - High,"north of fieldhouse, on path",6200 W BLOOMINGDALE AVE,2.0,2017-05-16,,,2.0,2017-07-19,,,,,,,,Passed testing - returned to normal push-button operation,O
AMUNDSEN (ROALD),Amundsen  #2 - Low,"north of fieldhouse, on path",6200 W BLOOMINGDALE AVE,2.0,2017-05-16,,,2.0,2017-07-19,,,,,,,,Passed testing - returned to normal push-button operation,O
ANDERSON (FRED),Anderson (Fred)  #1 - High,northeast corner of park on wabash,1629 S WABASH,2.0,2017-04-20,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
ANDERSON (FRED),Anderson (Fred)  #1 - Low,northeast corner of park on wabash,1629 S WABASH,2.0,2017-04-20,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
ANDERSON (FRED),Anderson (Fred)  #2 - High,small dog area,1629 S WABASH,2.0,2017-04-20,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
ANDERSON (FRED),Anderson (Fred)  #2 - Low,small dog area,1629 S WABASH,2.0,2017-04-20,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
ANDERSON (FRED),Anderson (Fred)  #3 - High,large dog area,1629 S WABASH,2.0,2017-04-20,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
ANDERSON (FRED),Anderson (Fred)  #3 - Low,large dog area,1629 S WABASH,2.0,2017-04-20,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
ANDERSON (LOUIS),Anderson (Louis) #1,middle of playground area,3748 S PRAIRIE AVE,8.95,2017-04-18,,,11.8,2017-07-20,,,,,20.0,,,Passed testing - returned to normal push-button operation,O
ANDERSONVILLE,Andersonville  #1,at entrance on ashland,5233 N ASHLAND AVE,2.31,2017-04-14,,,53.7,2017-06-09,,,,,72.7,36.0,8.4,Continuous flow - To be assessed for repair/replacement/removal,O
ARCADE,Arcade  #1,"southwest corner, on forrestville",11144 S ST LAWRENCE AVE,7.94,2017-05-09,,,2.0,2017-06-27,,,,,16.6,14.0,23.0,Passed testing - returned to normal push-button operation,O
ARCHER (WILLIAM BEATTY),Archer  #1 - High,"on kilbourn, southwest of northwest diamond",4901 S KILBOURN AVE,2.0,2017-04-24,,,,,,,,,0.731,,,Passed testing - returned to normal push-button operation,O
ARCHER (WILLIAM BEATTY),Archer  #1 - Low,"on kilbourn, southwest of northwest diamond",4901 S KILBOURN AVE,2.0,2017-04-24,,,,,,,,,1.2,,,Passed testing - returned to normal push-button operation,O
ARCHER (WILLIAM BEATTY),Archer  #2,north of parking lot,4901 S KILBOURN AVE,2.0,2017-04-24,,,2.0,2017-06-09,,,,,38.0,35.0,2.4,Passed testing - returned to normal push-button operation,O
ARCHER (WILLIAM BEATTY),Archer  #3 - High,"east side of park, between southeast diamond and playground, at 49th",4901 S KILBOURN AVE,2.0,2017-04-24,,,,,,,,,1.5,,,Passed testing - returned to normal push-button operation,O
ARCHER (WILLIAM BEATTY),Archer  #3 - Middle,"east side of park, between southeast diamond and playground, at 49th",4901 S KILBOURN AVE,2.0,2017-04-24,,,,,,,,,1.53,,,Passed testing - returned to normal push-button operation,O
ARCHER (WILLIAM BEATTY),Archer  #3 - Low,"east side of park, between southeast diamond and playground, at 49th",4901 S KILBOURN AVE,2.0,2017-04-24,,,,,,,,,1.57,,,Passed testing - returned to normal push-button operation,O
ARCHER (WILLIAM BEATTY),Archer  #4,"3rd base line of senior diamond, on kilbourn",4901 S KILBOURN AVE,2.0,2017-04-24,,,,,,,,,1.18,,,Passed testing - returned to normal push-button operation,O
ARMOUR (PHILIP) SQUARE,Armour Square #1,pool deck,3309 S SHIELDS AVE,2.0,2017-06-16,,,2.0,2017-07-08,,,,,0.167,,,Passed testing - returned to normal push-button operation,O
ARMOUR (PHILIP) SQUARE,Armour Square #2 - High,south of playlot entrance,3309 S SHIELDS AVE,2.0,2017-04-14,,,,,,,,,1.53,,,Passed testing - returned to normal push-button operation,O
ARMOUR (PHILIP) SQUARE,Armour Square #2 - Middle,south of playlot entrance,3309 S SHIELDS AVE,2.0,2017-04-14,,,,,,,,,3.81,,,Passed testing - returned to normal push-button operation,O
ARMOUR (PHILIP) SQUARE,Armour Square #2 - Low,south of playlot entrance,3309 S SHIELDS AVE,2.0,2017-04-14,,,,,,,,,3.37,,,Passed testing - returned to normal push-button operation,O
ARMOUR (PHILIP) SQUARE,Armour Square #3 - High,"east side of walking path, north of southeast entrance",3309 S SHIELDS AVE,2.0,2017-04-14,,,,,,,,,2.51,,,Passed testing - returned to normal push-button operation,O
ARMOUR (PHILIP) SQUARE,Armour Square #3 - Low,"east side of walking path, north of southeast entrance",3309 S SHIELDS AVE,2.0,2017-04-14,,,,,,,,,1.63,,,Passed testing - returned to normal push-button operation,O
ARMOUR (PHILIP) SQUARE,Armour Square #4 - High,"west of south diamond, east of tennis courts",3309 S SHIELDS AVE,2.0,2017-04-14,,,,,,,,,6.44,,,Passed testing - returned to normal push-button operation,O
ARMOUR (PHILIP) SQUARE,Armour Square #4 - Low,"west of south diamond, east of tennis courts",3309 S SHIELDS AVE,2.0,2017-04-14,,,,,,,,,6.25,,,Passed testing - returned to normal push-button operation,O
ARMSTRONG (LILLIAN HARDIN),Armstrong  #1,"on center of running track, opposite st. lawrence, east side of track",4433 S ST LAWRENCE,2.0,2017-04-28,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
ARRIGO (VICTOR),Arrigo  #1 - High,"southeast corner of park, near lytle and cabrini",801 S LOOMIS ST,32.3,2017-04-11,16.1,2017-05-25,,,55.0,2017-06-29,14.0,2017-07-31,92.0,110.0,86.0,Continuous flow - Fountain replaced in 2017,O
ARRIGO (VICTOR),Arrigo  #1 - Low,"southeast corner of park, near lytle and cabrini",801 S LOOMIS ST,112.0,2017-04-11,25.3,2017-05-25,,,,,,,91.0,110.0,86.0,Continuous flow - Fountain replaced in 2017,O
ASHE (ARTHUR) BEACH,Ashe Beach #1 - High,at entrance on 74th,2701 E 74TH ST,2.0,2017-04-08,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
ASHE (ARTHUR) BEACH,Ashe Beach #1 - Middle,at entrance on 74th,2701 E 74TH ST,2.0,2017-04-08,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
ASHE (ARTHUR) BEACH,Ashe Beach #1 - Low,at entrance on 74th,2701 E 74TH ST,2.0,2017-04-08,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
ASHMORE,Ashmore  #1,at park entrance on gunnison,4807 W GUNNISON ST,5.38,2017-04-04,,,19.2,2017-06-08,,,,,32.9,49.5,11.0,Continuous flow - To be assessed for repair/replacement/removal,O
ASPEN,Aspen  #1 - High,inside entrance,4237 S WABASH AVE,2.0,2017-04-27,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
ASPEN,Aspen  #1 - Low,inside entrance,4237 S WABASH AVE,2.0,2017-04-27,,,,,,,,,2.2,,,Passed testing - returned to normal push-button operation,O
ASTER,Aster  #1,at entrance,4639 N KENMORE AVE,2.0,2017-04-27,,,,,,,,,9.7,,,Passed testing - returned to normal push-button operation,O
ATHLETIC FIELD,Athletic Field  #1,"northeast corner of fieldhouse, on path",3546 W ADDISON ST,7.07,2017-04-22,,,129.0,2017-06-26,,,,,47.5,45.0,42.0,Continuous flow - To be assessed for repair/replacement/removal,O
ATHLETIC FIELD,Athletic Field  #2 - High,in playground,3546 W ADDISON ST,2.0,2017-04-22,,,,,,,,,0.12,,,Passed testing - returned to normal push-button operation,O
ATHLETIC FIELD,Athletic Field  #2 - Middle,in playground,3546 W ADDISON ST,2.0,2017-04-22,,,,,,,,,0.12,,,Passed testing - returned to normal push-button operation,O
ATHLETIC FIELD,Athletic Field  #2 - Low,in playground,3546 W ADDISON ST,2.0,2017-04-22,,,,,,,,,0.12,,,Passed testing - returned to normal push-button operation,O
AUGUSTA (CARPENTER),Augusta  #1 - High,west side of playground,4431 W AUGUSTA BLVD,2.0,2017-04-08,,,,,,,,,0.769,,,Passed testing - returned to normal push-button operation,O
AUGUSTA (CARPENTER),Augusta  #1 - Middle,west side of playground,4431 W AUGUSTA BLVD,2.0,2017-04-08,,,,,,,,,0.769,,,Passed testing - returned to normal push-button operation,O
AUGUSTA (CARPENTER),Augusta  #1 - Low,west side of playground,4431 W AUGUSTA BLVD,2.0,2017-04-08,,,,,,,,,0.789,,,Passed testing - returned to normal push-button operation,O
AUSTIN FOSTER,Austin Foster #1 - High,north of playground,6020 W FOSTER AVE,8.64,2017-04-07,,,7.24,2017-06-15,,,,,20.6,28.6,12.7,Passed testing - returned to normal push-button operation,O
AUSTIN FOSTER,Austin Foster #1 - Low,north of playground,6020 W FOSTER AVE,8.35,2017-04-07,,,8.24,2017-06-15,,,,,51.0,18.4,31.6,Passed testing - returned to normal push-button operation,O
AUSTIN TOWN HALL,Austin Town Hall  #1,on street at lake entrance,5610 W LAKE ST,3.3,2017-04-07,,,,,,,,,2.41,,,Passed testing - returned to normal push-button operation,O
AVALON,Avalon  #1,"west of west path, north of playground",1215 E 83RD ST,2.0,2017-04-29,,,,,,,,,7.9,,,Passed testing - returned to normal push-button operation,O
AVALON,Avalon  #2 - High,"west of west path, within playground",1215 E 83RD ST,2.0,2017-04-29,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
AVALON,Avalon  #2 - Low,"west of west path, within playground",1215 E 83RD ST,2.0,2017-04-29,,,,,,,,,2.7,,,Passed testing - returned to normal push-button operation,O
AVALON,Avalon  #3 - High,"southwest corner, east of path and tennis courts",1215 E 83RD ST,11.9,2017-04-29,,,5.44,2017-06-28,,,,,1800.0,3100.0,65.0,Continuous flow - To be assessed for repair/replacement/removal,O
AVALON,Avalon  #3 - Low,"southwest corner, east of path and tennis courts",1215 E 83RD ST,14.2,2017-04-29,,,5.39,2017-06-28,,,,,1200.0,1100.0,65.0,Continuous flow - To be assessed for repair/replacement/removal,O
AVALON,Avalon  #4 - High,center path between athletic fields near south end,1215 E 83RD ST,5.42,2017-04-29,,,8.67,2017-06-28,,,,,270.0,360.0,13.0,Continuous flow - To be assessed for repair/replacement/removal,O
AVALON,Avalon  #4 - Low,center path between athletic fields near south end,1215 E 83RD ST,5.29,2017-04-29,,,8.57,2017-06-28,,,,,400.0,360.0,13.0,Continuous flow - To be assessed for repair/replacement/removal,O
AVALON,Avalon  #5 - High,"east path near parking lot, north of pool",1215 E 83RD ST,68.5,2017-04-29,12.3,2017-06-13,11.8,2017-06-30,31.0,2017-07-25,,,150.0,240.0,400.0,Continuous flow - To be assessed for repair/replacement/removal,O
AVALON,Avalon  #5 - Low,"east path near parking lot, north of pool",1215 E 83RD ST,63.5,2017-04-29,11.3,2017-06-13,11.6,2017-06-30,,,,,170.0,280.0,390.0,Continuous flow - To be assessed for repair/replacement/removal,O
AVALON,Avalon  #6 - High,pool deck near shower building,1215 E 83RD ST,2.0,2017-04-29,2.0,2017-06-02,2.0,2017-06-28,2.0,2017-06-29,,,8.2,,,Continuous flow - To be assessed for repair/replacement/removal,O
AVALON,Avalon  #6 - Low,pool deck near shower building,1215 E 83RD ST,41.0,2017-04-29,2.0,2017-06-02,2.0,2017-06-28,,,,,15.0,,,Continuous flow - To be assessed for repair/replacement/removal,O
AVONDALE,Avondale  #1,pool deck,3516 W SCHOOL ST,2.39,2017-06-02,,,,,,,,,0.457,,,Passed testing - returned to normal push-button operation,O
AVONDALE,Avondale  #2,east of fieldhouse,3516 W SCHOOL ST,3.09,2017-04-18,,,,,,,,,9.52,,,Passed testing - returned to normal push-button operation,O
BACK OF THE YARDS,Back of the Yards  #1 - High,inside 49th street entrance,4920 S THROOP ST,2.0,2017-06-09,,,,,,,,,,,,In flushing protocol - 2017 EPA Test pending,O
BACK OF THE YARDS,Back of the Yards  #1 - Low,inside 49th street entrance,4920 S THROOP ST,2.0,2017-06-09,,,,,,,,,,,,In flushing protocol - 2017 EPA Test pending,O
BARNARD (ERASTUS),Barnard  #1,northwest corner on path,10441 S LONGWOOD DR,2.84,2017-04-17,,,,,,,,,14.0,,,Passed testing - returned to normal push-button operation,O
BARNARD (ERASTUS),Barnard  #2 - High,playground,10441 S LONGWOOD DR,2.0,2017-04-17,,,,,,,,,6.11,,,In flushing protocol - 2017 EPA Test pending,O
BARNARD (ERASTUS),Barnard  #2 - Low,playground,10441 S LONGWOOD DR,2.0,2017-04-17,,,,,,,,,15.5,26.0,2.6,In flushing protocol - 2017 EPA Test pending,O
BARRETT (CHARLES),Barrett  #1,near cermak entrance,2022 W CERMAK RD,2.0,2017-04-07,,,,,,,,,2.6,,,Passed testing - returned to normal push-button operation,O
BARTELME (MARY),Bartelme  #1 - High,northwest side of playground,115 S. SANGAMON ST,2.0,2017-04-26,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
BARTELME (MARY),Bartelme  #1 - Middle,northwest side of playground,115 S. SANGAMON ST,2.0,2017-04-26,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
BARTELME (MARY),Bartelme  #1 - Low,northwest side of playground,115 S. SANGAMON ST,2.0,2017-04-26,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
BARTELME (MARY),Bartelme  #2 - High,in dog area,115 S. SANGAMON ST,2.0,2017-04-26,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
BARTELME (MARY),Bartelme  #2 - Dog,in dog area,115 S. SANGAMON ST,2.0,2017-04-26,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
BAULER (MATHIAS),Bauler  #1,center of park,517 W WISCONSIN ST,6.51,2017-04-26,,,44.0,2017-09-01,,,,,38.0,40.0,15.0,Continuous flow - To be assessed for repair/replacement/removal,O
BEEHIVE,Beehive  #1 - High,at park entrance on dorchester,6156 S DORCHESTER AVE,2.0,2017-04-11,,,,,,,,,7.41,,,Passed testing - returned to normal push-button operation,O
BEEHIVE,Beehive  #1 - Low,at park entrance on dorchester,6156 S DORCHESTER AVE,2.0,2017-04-11,,,,,,,,,6.14,,,Passed testing - returned to normal push-button operation,O
"BELL (GEORGE,JR.)",Bell  #1,between basketball court and playground,3020 N OAK PARK AVE,2.45,2017-04-08,,,66.4,2017-08-19,,,,,16.6,19.0,4.3,Continuous flow - To be assessed for repair/replacement/removal,O
BERGER (ALBERT),Berger  #1 - High,northeast corner of cultural center,6227 N SHERIDAN RD,2.0,2017-04-24,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
BERGER (ALBERT),Berger  #1 - Middle,northeast corner of cultural center,6227 N SHERIDAN RD,2.0,2017-04-24,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
BERGER (ALBERT),Berger  #1 - Low,northeast corner of cultural center,6227 N SHERIDAN RD,2.0,2017-04-24,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
BESSEMER (HENRY),Bessemer  #1,east end of running track,8930 S MUSKEGON AVE,2.0,2017-05-04,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
BESSEMER (HENRY),Bessemer  #2,on pool deck,8930 S MUSKEGON AVE,2.0,2017-06-21,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
BESSEMER (HENRY),Bessemer  #3,southwest area of parking lot,8930 S MUSKEGON AVE,2.0,2017-05-04,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
BESSEMER (HENRY),Bessemer  #4,across path from tennis courts,8930 S MUSKEGON AVE,2.71,2017-05-04,,,,,,,,,6.4,,,Passed testing - returned to normal push-button operation,O
BESSEMER (HENRY),Bessemer  #5,50' north of south chicago between baseball diamonds,8930 S MUSKEGON AVE,2.0,2017-05-04,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
BESSEMER (HENRY),Bessemer  #6,behind pool,8930 S MUSKEGON AVE,4.64,2017-06-21,,,,,,,,,,,,In flushing protocol - 2017 EPA Test pending,O
BEVERLY,Beverly  #1,maplewood and 101st place,2460 W 102ND ST,2.0,2017-04-14,,,,,,,,,13.9,,,Passed testing - returned to normal push-button operation,O
BEVERLY,Beverly  #2 - High,south of fieldhouse on walking path,2460 W 102ND ST,2.0,2017-04-14,,,,,,,,,0.519,,,Passed testing - returned to normal push-button operation,O
BEVERLY,Beverly  #2 - Low,south of fieldhouse on walking path,2460 W 102ND ST,2.0,2017-04-14,,,,,,,,,0.523,,,Passed testing - returned to normal push-button operation,O
BEVERLY,Beverly  #2 - Dog,south of fieldhouse on walking path,2460 W 102ND ST,2.0,2017-04-14,,,,,,,,,0.549,,,Passed testing - returned to normal push-button operation,O
BEVERLY,Beverly  #3 - High,on central path from 103rd,2460 W 102ND ST,2.0,2017-04-14,,,2.0,2017-06-10,,,,,91.4,38.0,2.1,Passed testing - returned to normal push-button operation,O
BEVERLY,Beverly  #3 - Low,on central path from 103rd,2460 W 102ND ST,,,,,2.0,2017-06-10,,,,,,,,Passed testing - returned to normal push-button operation,O
BIG MARSH,Big Marsh #1 - BF,bike park entrance,1958 E 116th Street,2.0,2017-05-30,,,,,,,,,,,,,O
BIG MARSH,Big Marsh #1 - Middle,bike park entrance,1958 E 116th Street,2.0,2017-05-30,,,2.0,2017-07-03,,,,,,,,,O
BIG MARSH,Big Marsh #1 - Low,bike park entrance,1958 E 116th Street,2.0,2017-05-30,,,2.0,2017-07-03,,,,,,,,,O
BIRCH,Birch  #1 - High,inside entrance,427 E 45TH ST,2.0,2017-04-27,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
BIRCH,Birch  #1 - Low,inside entrance,427 E 45TH ST,2.0,2017-04-27,,,,,,,,,2.0,,,Passed testing - returned to normal push-button operation,O
BIXLER (RAY),Bixler  #1 ,inside playground fence,5641 S KENWOOD AVE,2.0,2017-04-13,,,,,,,,,0.176,,,Passed testing - returned to normal push-button operation,O
BIXLER (RAY),Bixler  #2,south of playground fence,5641 S KENWOOD AVE,2.0,2017-04-17,,,2.0,2017-06-30,,,,,,,,Passed testing - returned to normal push-button operation,O
BLACKHAWK,Blackhawk  #1,southeast corner of playground,2318 N LAVERGNE AVE,2.0,2017-04-12,,,22.0,2017-07-15,,,,,22.1,20.0,2.0,Continuous flow - To be assessed for repair/replacement/removal,O
BLACKHAWK,Blackhawk  #2,"southwest corner of fieldhouse, on path from lawler entrance",2318 N LAVERGNE AVE,4.25,2017-04-12,,,43.5,2017-07-15,,,,,23.3,21.0,3.5,Continuous flow - To be assessed for repair/replacement/removal,O
"BLACKWELDER (I.S., GERTRUDE)",Blackwelder  #1 - High,at entrance on 115th,11500 S HOMEWOOD AVE,2.0,2017-04-17,,,,,,,,,0.299,,,Passed testing - returned to normal push-button operation,O
"BLACKWELDER (I.S., GERTRUDE)",Blackwelder  #1 - Middle,at entrance on 115th,11500 S HOMEWOOD AVE,2.0,2017-04-17,,,,,,,,,0.311,,,Passed testing - returned to normal push-button operation,O
"BLACKWELDER (I.S., GERTRUDE)",Blackwelder  #1 - Low,at entrance on 115th,11500 S HOMEWOOD AVE,2.0,2017-04-17,,,,,,,,,0.361,,,Passed testing - returned to normal push-button operation,O
"BLACKWELDER (I.S., GERTRUDE)",Blackwelder  #2,"north of basketball court, on path",11500 S HOMEWOOD AVE,,,,,,,,,,,,,,Inactive. Boken service,O
BOGAN (WILLIAM),Bogan  #1,"north end of park, on path, near school",3939 W 79TH ST,,,,,,,,,,,,,,Inactive. Boken service,O
BOGAN (WILLIAM),Bogan  #2,"behind home plate of southernmost diamond, on path",3939 W 79TH ST,2.0,2017-04-03,,,,,,,,,0.662,,,Passed testing - returned to normal push-button operation,O
BOGAN (WILLIAM),Bogan  #3 - High,near playlot,3939 W 79TH ST,2.0,2017-04-03,,,,,,,,,2.69,,,Passed testing - returned to normal push-button operation,O
BOGAN (WILLIAM),Bogan  #3 - Low,near playlot,3939 W 79TH ST,2.0,2017-04-03,,,,,,,,,3.09,,,Passed testing - returned to normal push-button operation,O
BOSLEY (WILLIAM),Bosley  #1,northwest corner of field house,3044 S BONFIELD ST,2.0,2017-04-14,,,,,,,,,3.11,,,Passed testing - returned to normal push-button operation,O
BOSWELL (ARNITA YOUNG),Boswell  #1 - High,inside entrance on university,6646 S UNIVERSITY AVE,2.0,2017-04-11,,,2.0,2017-06-30,,,,,17.8,37.0,5.9,Passed testing - returned to normal push-button operation,O
BOSWELL (ARNITA YOUNG),Boswell  #1 - Low,inside entrance on university,6646 S UNIVERSITY AVE,2.0,2017-04-11,,,2.0,2017-06-30,,,,,17.7,37.0,6.4,Passed testing - returned to normal push-button operation,O
BRADLEY (JOSEPHINE),Bradley  #1,northeast corner of tennis courts,9729 S YATES AVE,157.0,2017-05-05,2.0,2017-06-01,11.8,2017-07-20,16.5,2017-08-08,,,,,,Continuous flow - To be assessed for repair/replacement/removal,O
BRADLEY (JOSEPHINE),Bradley  #2,"on yates, west of fieldhouse",9729 S YATES AVE,2.0,2017-05-05,,,,,,,,,3.0,,,Passed testing - returned to normal push-button operation,O
BRADLEY (JOSEPHINE),Bradley  #3,"south of south diamond, on path from 98th/bensley entrance",9729 S YATES AVE,2.0,2017-05-05,,,14.2,2017-07-20,6.06,2017-08-08,,,17.0,100.0,44.0,Continuous flow - To be assessed for repair/replacement/removal,O
BRAINERD,Brainerd  #1 - High,spraypool,1246 W 92ND ST,2.0,2017-04-18,,,,,,,,,0.12,,,Passed testing - returned to normal push-button operation,O
BRAINERD,Brainerd  #1 - Middle,spraypool,1246 W 92ND ST,2.0,2017-04-18,,,,,,,,,0.12,,,Passed testing - returned to normal push-button operation,O
BRAINERD,Brainerd  #1 - Low,spraypool,1246 W 92ND ST,2.0,2017-04-18,,,,,,,,,0.12,,,Passed testing - returned to normal push-button operation,O
BRAINERD,Brainerd  #2,southeast of tennis courts,1246 W 92ND ST,,,,,,,,,,,,,,Inactive. Needs repair,O
BRAINERD,Brainerd  #3,northeast corner on 91st,1246 W 92ND ST,2.0,2017-04-18,,,,,,,,,5.31,,,Passed testing - returned to normal push-button operation,O
BRAINERD,Brainerd  #4,east of fieldhouse on walking path,1246 W 92ND ST,2.0,2017-04-18,,,,,,,,,0.694,,,Passed testing - returned to normal push-button operation,O
BRANDS,Brands  #1,southwest corner of tennis courts,3285 N ELSTON AVE,,,,,,,,,,,,,,,O
