park_name,fountain_number,location_description,status,
ANDERSON (FRED),Anderson (Fred) #1,NORTHEAST CORNER OF PARK ON WABASH,Passed testing - returned to normal push-button operation,
ANDERSON (FRED),Anderson (Fred) #2,SMALL DOG AREA,Passed testing - returned to normal push-button operation,
ANDERSON (FRED),Anderson (Fred) #3,LARGE DOG AREA,Passed testing - returned to normal push-button operation,
ANDERSON (LOUIS),Anderson (Louis) #1,MIDDLE OF PLAYGROUND AREA,Passed testing - returned to normal push-button operation,
ANDERSONVILLE,Andersonville #1,AT ENTRANCE ON ASHLAND,Continuous flow - To be assessed for repair/replacement/removal,
ARCADE,Arcade #1,"SOUTHWEST CORNER, ON FORRESTVILLE",Passed testing - returned to normal push-button operation,
ARCHER (WILLIAM BEATTY),Archer (William Beatty) #1,"ON KILBOURN, SOUTHWEST OF NORTHWEST DIAMOND",Passed testing - returned to normal push-button operation,
ARCHER (WILLIAM BEATTY),Archer (William Beatty) #2,NORTH OF PARKING LOT,Passed testing - returned to normal push-button operation,
ARCHER (WILLIAM BEATTY),Archer (William Beatty) #3,"EAST SIDE OF PARK, BETWEEN SOUTHEAST DIAMOND AND PLAYGROUND, AT 49TH",Passed testing - returned to normal push-button operation,
ARCHER (WILLIAM BEATTY),Archer (William Beatty) #4,"3RD BASE LINE OF SENIOR DIAMOND, ON KILBOURN",Passed testing - returned to normal push-button operation,
ARMOUR (PHILIP) SQUARE,Armour (Philip) Square #1,POOL DECK,Passed testing - returned to normal push-button operation,
ARMOUR (PHILIP) SQUARE,Armour (Philip) Square #2,SOUTH OF PLAYLOT ENTRANCE,Passed testing - returned to normal push-button operation,
ARMOUR (PHILIP) SQUARE,Armour (Philip) Square #3,"EAST SIDE OF WALKING PATH, NORTH OF SOUTHEAST ENTRANCE",Passed testing - returned to normal push-button operation,
ARMOUR (PHILIP) SQUARE,Armour (Philip) Square #4,"WEST OF SOUTH DIAMOND, EAST OF TENNIS COURTS",Passed testing - returned to normal push-button operation,
ARMSTRONG (LILLIAN HARDIN),Armstrong (Lillian Hardin) #1,"ON CENTER OF RUNNING TRACK, OPPOSITE ST. LAWRENCE, EAST SIDE OF TRACK",Passed testing - returned to normal push-button operation,
ARRIGO (VICTOR),Arrigo (Victor) #1,"SOUTHEAST CORNER OF PARK, NEAR LYTLE AND CABRINI",Continuous flow - Fountain replaced in 2017,
ASHE (ARTHUR) BEACH,Ashe (Arthur) Beach #1,AT ENTRANCE ON 74TH,Passed testing - returned to normal push-button operation,
ASHMORE,Ashmore #1,AT PARK ENTRANCE ON GUNNISON,Continuous flow - To be assessed for repair/replacement/removal,
ASPEN,Aspen #1,INSIDE ENTRANCE,Passed testing - returned to normal push-button operation,
ASTER,Aster #1,AT ENTRANCE,Passed testing - returned to normal push-button operation,
ATHLETIC FIELD,Athletic Field #1,"NORTHEAST CORNER OF FIELDHOUSE, ON PATH",Continuous flow - To be assessed for repair/replacement/removal,
ATHLETIC FIELD,Athletic Field #2,IN PLAYGROUND,Passed testing - returned to normal push-button operation,
AUGUSTA (CARPENTER),Augusta (Carpenter) #1,WEST SIDE OF PLAYGROUND,Passed testing - returned to normal push-button operation,
AUSTIN FOSTER,Austin Foster #1,NORTH OF PLAYGROUND,Passed testing - returned to normal push-button operation,
AUSTIN TOWN HALL,Austin Town Hall #1,ON STREET AT LAKE ENTRANCE,Passed testing - returned to normal push-button operation,
AVALON,Avalon #1,"WEST OF WEST PATH, NORTH OF PLAYGROUND",Passed testing - returned to normal push-button operation,
AVALON,Avalon #2,"WEST OF WEST PATH, WITHIN PLAYGROUND",Passed testing - returned to normal push-button operation,
AVALON,Avalon #3,"SOUTHWEST CORNER, EAST OF PATH AND TENNIS COURTS",Continuous flow - To be assessed for repair/replacement/removal,
AVALON,Avalon #4,CENTER PATH BETWEEN ATHLETIC FIELDS NEAR SOUTH END,Continuous flow - To be assessed for repair/replacement/removal,
AVALON,Avalon #5,"EAST PATH NEAR PARKING LOT, NORTH OF POOL",Continuous flow - To be assessed for repair/replacement/removal,
AVALON,Avalon #6,POOL DECK NEAR SHOWER BUILDING,Continuous flow - To be assessed for repair/replacement/removal,
AVONDALE,Avondale #1,POOL DECK,Passed testing - returned to normal push-button operation,
AVONDALE,Avondale #2,EAST OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
BACK OF THE YARDS,Back Of The Yards #1,INSIDE 49TH STREET ENTRANCE,In flushing protocol - 2017 EPA Test pending,
BARNARD (ERASTUS),Barnard (Erastus) #1,NORTHWEST CORNER ON PATH,Passed testing - returned to normal push-button operation,
BARNARD (ERASTUS),Barnard (Erastus) #2,PLAYGROUND,In flushing protocol - 2017 EPA Test pending,
BARRETT (CHARLES),Barrett (Charles) #1,NEAR CERMAK ENTRANCE,Passed testing - returned to normal push-button operation,
BARTELME (MARY),Bartelme (Mary) #1,NORTHWEST SIDE OF PLAYGROUND,Passed testing - returned to normal push-button operation,
BARTELME (MARY),Bartelme (Mary) #2,IN DOG AREA,Passed testing - returned to normal push-button operation,
BAULER (MATHIAS),Bauler (Mathias) #1,CENTER OF PARK,Continuous flow - To be assessed for repair/replacement/removal,
BEEHIVE,Beehive #1,AT PARK ENTRANCE ON DORCHESTER,Passed testing - returned to normal push-button operation,
"BELL (GEORGE,JR.)","Bell (George,Jr.) #1",BETWEEN BASKETBALL COURT AND PLAYGROUND,Continuous flow - To be assessed for repair/replacement/removal,
BERGER (ALBERT),Berger (Albert) #1,NORTHEAST CORNER OF CULTURAL CENTER,Passed testing - returned to normal push-button operation,
BESSEMER (HENRY),Bessemer (Henry) #1,EAST END OF RUNNING TRACK,Passed testing - returned to normal push-button operation,
BESSEMER (HENRY),Bessemer (Henry) #2,ON POOL DECK,Passed testing - returned to normal push-button operation,
BESSEMER (HENRY),Bessemer (Henry) #3,SOUTHWEST AREA OF PARKING LOT,Passed testing - returned to normal push-button operation,
BESSEMER (HENRY),Bessemer (Henry) #4,ACROSS PATH FROM TENNIS COURTS,Passed testing - returned to normal push-button operation,
BESSEMER (HENRY),Bessemer (Henry) #5,50' NORTH OF SOUTH CHICAGO BETWEEN BASEBALL DIAMONDS,Passed testing - returned to normal push-button operation,
BESSEMER (HENRY),Bessemer (Henry) #6,BEHIND POOL,In flushing protocol - 2017 EPA Test pending,
BEVERLY,Beverly #1,MAPLEWOOD AND 101ST PLACE,Passed testing - returned to normal push-button operation,
BEVERLY,Beverly #2,SOUTH OF FIELDHOUSE ON WALKING PATH,Passed testing - returned to normal push-button operation,
BEVERLY,Beverly #3,ON CENTRAL PATH FROM 103RD,Passed testing - returned to normal push-button operation,
BIG MARSH,Big Marsh #1,(LOC. NEEDED),Passed testing - returned to normal push-button operation,
BIRCH,Birch #1,INSIDE ENTRANCE,Passed testing - returned to normal push-button operation,
BIXLER (RAY),Bixler (Ray) #1,INSIDE PLAYGROUND FENCE,Passed testing - returned to normal push-button operation,
BIXLER (RAY),Bixler (Ray) #2,SOUTH OF PLAYGROUND FENCE,Passed testing - returned to normal push-button operation,
BLACKHAWK,Blackhawk #1,SOUTHEAST CORNER OF PLAYGROUND,Continuous flow - To be assessed for repair/replacement/removal,
BLACKHAWK,Blackhawk #2,"SOUTHWEST CORNER OF FIELDHOUSE, ON PATH FROM LAWLER ENTRANCE",Continuous flow - To be assessed for repair/replacement/removal,
"BLACKWELDER (I.S., GERTRUDE)","Blackwelder (I.S., Gertrude) #1",AT ENTRANCE ON 115TH,Passed testing - returned to normal push-button operation,
"BLACKWELDER (I.S., GERTRUDE)","Blackwelder (I.S., Gertrude) #2","NORTH OF BASKETBALL COURT, ON PATH",Inactive. Boken service,
BOGAN (WILLIAM),Bogan (William) #1,"NORTH END OF PARK, ON PATH, NEAR SCHOOL",Inactive. Boken service,
BOGAN (WILLIAM),Bogan (William) #2,"BEHIND HOME PLATE OF SOUTHERNMOST DIAMOND, ON PATH",Passed testing - returned to normal push-button operation,
BOGAN (WILLIAM),Bogan (William) #3,NEAR PLAYLOT,Passed testing - returned to normal push-button operation,
BOSLEY (WILLIAM),Bosley (William) #1,NORTHWEST CORNER OF FIELD HOUSE,Passed testing - returned to normal push-button operation,
BOSWELL (ARNITA YOUNG),Boswell (Arnita Young) #1,INSIDE ENTRANCE ON UNIVERSITY,Passed testing - returned to normal push-button operation,
BRADLEY (JOSEPHINE),Bradley (Josephine) #1,NORTHEAST CORNER OF TENNIS COURTS,Continuous flow - To be assessed for repair/replacement/removal,
BRADLEY (JOSEPHINE),Bradley (Josephine) #2,"ON YATES, WEST OF FIELDHOUSE",Passed testing - returned to normal push-button operation,
BRADLEY (JOSEPHINE),Bradley (Josephine) #3,"SOUTH OF SOUTH DIAMOND, ON PATH FROM 98TH/BENSLEY ENTRANCE",Continuous flow - To be assessed for repair/replacement/removal,
BRAINERD,Brainerd #1,SPRAYPOOL,Passed testing - returned to normal push-button operation,
BRAINERD,Brainerd #2,SOUTHEAST OF TENNIS COURTS,Inactive. Needs repair,
BRAINERD,Brainerd #3,NORTHEAST CORNER ON 91ST,Passed testing - returned to normal push-button operation,
BRAINERD,Brainerd #4,EAST OF FIELDHOUSE ON WALKING PATH,Passed testing - returned to normal push-button operation,
BRANDS,Brands #2,NORTHWESTOF PLAYGROUND,Passed testing - returned to normal push-button operation,
BRANDS,Brands #3,AT SOUTHERN ENTRANCE TO PARK ON ELSTON,Continuous flow - To be assessed for repair/replacement/removal,
BRIGHTON,Brighton #1,"EAST SIDE OF PARK, EAST OF PATH IN CENTER BETWEEN PLAY LOT AND BASKETBALL COURT",Passed testing - returned to normal push-button operation,
BROMANN (CHARLES),Bromann (Charles) #1,AT ENTRANCE ON BALMORAL,Passed testing - returned to normal push-button operation,
BRONCHO BILLY,Broncho Billy #1,CENTER OF PARK,Passed testing - returned to normal push-button operation,
BROOKS (GWENDOLYN),Brooks (Gwendolyn) #1,"NORTHEAST CORNER OF PARK, ON GREENWOOD",Passed testing - returned to normal push-button operation,
BROOKS (OSCAR),Brooks (Oscar) #1,"ON DRIVEWAY, IN FRONT OF FIELDHOUSE, ON HARLEM",In flushing protocol - 2017 EPA Test pending,
BROOKS (OSCAR),Brooks (Oscar) #2,"WEST SIDE OF PARK, ON PATH",Continuous flow - To be assessed for repair/replacement/removal,
BROWN (SIDNEY) MEML.,Brown (Sidney) Meml. #1,NORTH OF SPRAY POOL,Continuous flow - To be assessed for repair/replacement/removal,
BROWN (SIDNEY) MEML.,Brown (Sidney) Meml. #2,"BEHIND SOUTH DIAMOND, ON PATH",Passed testing - returned to normal push-button operation,
BRYNFORD,Brynford #1,AT ENTRANCE ON PULASKI,Passed testing - returned to normal push-button operation,
BUENA CIRCLE,Buena Circle #1,CENTER OF PARK,Continuous flow - To be assessed for repair/replacement/removal,
BURNHAM (DANIEL),Burnham (Daniel) #1,"ON MCFETRIDGE, NEAR SOLDIER MEMORIAL STATUE",Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #2,CHILDREN'S GARDEN ENTRANCE,Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #3,SOLDIER FIELD GATE 28,Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #4,"BURNHAM HARBOR DOCK, GATE E, ON PATH",Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #5,SOLDIER FIELD GATE 14,Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #7,"NORTH SIDE OF WALDRON, ON PATH",Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #8,SOUTH SIDE OF SLEDDING HILL,Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #9,"NORTH END OF MCCORMICK PLACE, BY WATERFALL, ON PATH",Continuous flow - To be assessed for repair/replacement/removal,
BURNHAM (DANIEL),Burnham (Daniel) #10,"SOUTH END OF MCCORMICK PLACE BY WATERFALL, ON PATH",Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #11,"FIREFIGHTER MEMORIAL, SOUTH, ON PATH",Continuous flow - To be assessed for repair/replacement/removal,
BURNHAM (DANIEL),Burnham (Daniel) #12,31ST STREET BEACHHOUSE,Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #13,ON 31ST HARBOR BUILDING,Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #14,31ST STREET SKATEPARK,Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #15,SOUTH OF 41ST STREET BEACH HOUSE,Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #16,WEST OF 41ST STREET BEACHHOUSE ON PATH,Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #17,"42ND STREET, ON PATH, BY BASKETBALL COURTS",Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #18,43RD STREET COMFORT STATION,Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #19,44TH STREET ON BIKE PATH,Continuous flow - To be assessed for repair/replacement/removal,
BURNHAM (DANIEL),Burnham (Daniel) #20,"BURNHAM PLAYGROUND, SOUTH OF 47TH, WEST OF LSD",Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #21,"48TH STREET, EAST OF LSD, ON PATH",Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #22,"WEST OF LSD, SOUTH OF 47TH, ON CORNELL TO BALLFIELD",Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #23,"SOUTH OF 49TH STREET COMFORT STATION, ON PATH",Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #24,"51ST STREET BRIDGE, EAST OF LSD",Continuous flow - To be assessed for repair/replacement/removal,
BURNHAM (DANIEL),Burnham (Daniel) #25,"BURNHAM PLAYGROUND AT 54TH, WEST OF LSD",Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #26,"NORTH SIDE, ON PROMONTORY POINT",Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #27,"55TH STREET, WALLACH FOUNTAIN",Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #28,"SOUTH SIDE, ON PROMONTORY POINT",Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #29,"ON PATH, SOUTH OF WALDRON, EAST OF MUSEUM CAMPUS",Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #30,SOUTHWEST OF SOLDIER FIELD GATE 1,Passed testing - returned to normal push-button operation,
BURNHAM (DANIEL),Burnham (Daniel) #31,SOUTHEAST OF SOLDIER FIELD GATE 1,Passed testing - returned to normal push-button operation,
BURNSIDE (AMBROSE),Burnside (Ambrose) #1,"AT SIDEWALK ON GREENWOOD, NEAR PLAYGROUND",Passed testing - returned to normal push-button operation,
BURNSIDE (AMBROSE),Burnside (Ambrose) #2,EAST OF CENTER PATH NEAR TENNIS COURTS,Passed testing - returned to normal push-button operation,
BURNSIDE (AMBROSE),Burnside (Ambrose) #3,"NORTHWEST CORNER OF PARK, WEST OF PATH",Passed testing - returned to normal push-button operation,
BUTTERCUP,Buttercup #1,NEAR ENTRANCE ON SHERIDAN,Passed testing - returned to normal push-button operation,
BUTTERNUT,Butternut #1,BETWEEN TWO PLAY AREAS,Passed testing - returned to normal push-button operation,
CALIFORNIA,California #1,BEHIND HOME PLATE OF WHEELCHAIR DIAMOND,Passed testing - returned to normal push-button operation,
CALIFORNIA,California #2,ON POOL DECK,Passed testing - returned to normal push-button operation,
CALIFORNIA,California #3,BESIDE POOL LOCKER ROOMS,Continuous flow - To be assessed for repair/replacement/removal,
CALIFORNIA,California #4,"AT PLAYGROUND, WEST OF TENNIS COURTS",Continuous flow - To be assessed for repair/replacement/removal,
CALIFORNIA,California #5,(LOC. NEEDED),Passed testing - returned to normal push-button operation,
CALUMET,Calumet #1,IN SERVICE YARD,Passed testing - returned to normal push-button operation,
CALUMET,Calumet #2,"ON FOREMAN, WEST OF HELOPAD ENTRANCE",Passed testing - returned to normal push-button operation,
CALUMET,Calumet #3,ACROSS FROM SERVICE YARD,Passed testing - returned to normal push-button operation,
CALUMET,Calumet #4,CALUMET COMFORT STATION,Passed testing - returned to normal push-button operation,
CALUMET,Calumet #5,100 YARDS SOUTH OF COMFORT STATION,Passed testing - returned to normal push-button operation,
CALUMET,Calumet #6,NORTH OF FIELDHOUSE ON PATH,Passed testing - returned to normal push-button operation,
CALUMET,Calumet #7,WEST SIDE OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
CALUMET,Calumet #8,EAST SIDE OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
CALUMET,Calumet #9,EAST OF FIELDHOUSE ACROSS STREET,Passed testing - returned to normal push-button operation,
CALUMET,Calumet #10,NORTHWEST OF COASTGUARD ON PATH,Passed testing - returned to normal push-button operation,
CALUMET,Calumet #11,CALUMET PLAYGROUND,Passed testing - returned to normal push-button operation,
CALUMET,Calumet #12,BEACH HOUSE,Passed testing - returned to normal push-button operation,
CALUMET,Calumet #13,FAR SOUTH IN RIGHT FIELD IN GRASS,Passed testing - returned to normal push-button operation,
CARMEN,Carmen #1,AT ENTRANCE ON CARMEN,Continuous flow - To be assessed for repair/replacement/removal,
CARVER (GEORGE WASHINGTON),Carver (George Washington) #1,"NEAR PLAYGROUND, WEST SIDE OF BUILDING, NORTH END OF POOL DECK",Passed testing - returned to normal push-button operation,
CARVER (GEORGE WASHINGTON),Carver (George Washington) #2,SOUTHWEST CORNER OF POOL DECK,Passed testing - returned to normal push-button operation,
CARVER (GEORGE WASHINGTON),Carver (George Washington) #3,"BETWEEN NORTH BASEBALL DIAMONDS, ON 133RD",Inactive. Needs repair,
CARVER (GEORGE WASHINGTON),Carver (George Washington) #4,"AT NORTHEAST PARK ENTRANCE, NEAR 133RD AND ELLIS",Passed testing - returned to normal push-button operation,
CATALPA,Catalpa #1,SOUTH OF PARK ENTRANCE,Passed testing - returned to normal push-button operation,
CEDAR,Cedar #1,AT ENTRANCE ON WINTHROP,Passed testing - returned to normal push-button operation,
CENTRAL,Central #1,WEST SIDE OF PLAYGROUND,Passed testing - returned to normal push-button operation,
CHALLENGER,Challenger #1,AT BUENA,Passed testing - returned to normal push-button operation,
CHASE (SALMON),Chase (Salmon) #1,ON WALL OF FILTER ROOM ON POOL DECK,Passed testing - returned to normal push-button operation,
CHASE (SALMON),Chase (Salmon) #2,SOUTH END OF POOL DECK,Continuous flow - To be assessed for repair/replacement/removal,
CHASE (SALMON),Chase (Salmon) #3,IN GARDEN,Passed testing - returned to normal push-button operation,
CHASE (SALMON),Chase (Salmon) #4,PLAYGROUND,Passed testing - returned to normal push-button operation,
CHASE (SALMON),Chase (Salmon) #5,AT CLARK AND LELAND,Continuous flow - To be assessed for repair/replacement/removal,
CHESTNUT,Chestnut #1,BETWEEN BASKETBALL COURT AND PLAYGROUND,Passed testing - returned to normal push-button operation,
CHIPPEWA,Chippewa #1,SOUTHWEST OF FIELDHOUSE ON PATH,Passed testing - returned to normal push-button operation,
CHOPIN (FREDERIC),Chopin (Frederic) #1,"NORTHEAST ENTRANCE OF PARK, ON PATH",Passed testing - returned to normal push-button operation,
CHOPIN (FREDERIC),Chopin (Frederic) #2,"MIDDLE OF PARK, ON PATH, AT LINDER",Passed testing - returned to normal push-button operation,
CHOPIN (FREDERIC),Chopin (Frederic) #3,PLAYGROUND,Passed testing - returned to normal push-button operation,
CHOPIN (FREDERIC),Chopin (Frederic) #4,ON ROSCOE,Passed testing - returned to normal push-button operation,
CHURCHILL FIELD,Churchill Field #1,"NORTHWEST CORNER OF PARK, ON DAMEN",Passed testing - returned to normal push-button operation,
CHURCHILL FIELD,Churchill Field #2,IN DOG FRIENDLY AREA,Passed testing - returned to normal push-button operation,
CLAREMONT,Claremont #1,NORTH OF ENTRANCE,Passed testing - returned to normal push-button operation,
CLARENDON COMM. CTR.,Clarendon Comm. Ctr. #1,"NORTHWEST CORNER OF PARK, ON CLARENDON",Passed testing - returned to normal push-button operation,
CLARENDON COMM. CTR.,Clarendon Comm. Ctr. #2,"NORTH SIDE OF FIELDHOUSE ON PATIO, BEHIND BASEBALL DIAMOND",Passed testing - returned to normal push-button operation,
CLARENDON COMM. CTR.,Clarendon Comm. Ctr. #3,"CLARENDON DOG PARK NORTH OF SERVICE YARD, EAST OF MARINE DRIVE",Passed testing - returned to normal push-button operation,
CLARENDON COMM. CTR.,Clarendon Comm. Ctr. #4,NORTHWEST OF PLAYGROUND,Passed testing - returned to normal push-button operation,
CLARK (JOHN),Clark (John) #1,SOUTHEAST SIDE OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
CLARK (JOHN),Clark (John) #2,POOL DECK,In flushing protocol - 2017 EPA Test pending,
CLARK (RICHARD) - Kerry Wood,Clark (Richard) - Kerry Wood #1,3RD BASE LINE BEHIND HOME,Passed testing - returned to normal push-button operation,
CLARK (RICHARD) - Kerry Wood,Clark (Richard) - Kerry Wood #2,1ST BASE LINE BEHIND HOME,Passed testing - returned to normal push-button operation,
CLOVER,Clover #1,CENTER OF PARK,In flushing protocol - 2017 EPA Test pending,
CLYBOURN (ARCHIBALD),Clybourn (Archibald) #1,ON CLYBOURN,Continuous flow - To be assessed for repair/replacement/removal,
COCHRAN (JOHN),Cochran (John) #1,NORTHEAST CORNER OF PARK,Passed testing - returned to normal push-button operation,
COLE (NAT KING),Cole (Nat King) #1,NORTH SIDE OF PLAYGROUND,Continuous flow - To be assessed for repair/replacement/removal,
COLE (NAT KING),Cole (Nat King) #2,SPRAYPOOL,Passed testing - returned to normal push-button operation,
COLE (NAT KING),Cole (Nat King) #3,NEAR PARK ENTRANCE AT 85TH AND KING,Passed testing - returned to normal push-button operation,
COLE (NAT KING),Cole (Nat King) #4,OFF PATH ON 86TH AND CALUMET,Passed testing - returned to normal push-button operation,
COLEMAN (BESSIE),Coleman (Bessie) #1,EAST SIDE AT 54TH CUL-DE-SAC,Passed testing - returned to normal push-button operation,
COLISEUM,Coliseum #1,DOG PARK,Passed testing - returned to normal push-button operation,
COLISEUM,Coliseum #2,WABASH ENTRANCE - SOUTH,Passed testing - returned to normal push-button operation,
COLUMBUS (CHRISTOPHER),Columbus (Christopher) #1,"AT TENNIS COURTS, 210' EAST OF AUSTIN, 50' SOUTH OF ADAMS",Passed testing - returned to normal push-button operation,
COLUMBUS (CHRISTOPHER),Columbus (Christopher) #2,"AT BASKETBALL COURTS, 73' WEST OF CENTRAL, 73' SOUTH OF QUINCY",Passed testing - returned to normal push-button operation,
COLUMBUS (CHRISTOPHER),Columbus (Christopher) #3,"50' SOUTH OF JACKSON, 190' WEST OF REFECTORY DRIVE",Passed testing - returned to normal push-button operation,
COLUMBUS (CHRISTOPHER),Columbus (Christopher) #4,20' WEST OF THE GOLF STARTERS SHACK ON GOLF COURSE,Passed testing - returned to normal push-button operation,
COLUMBUS (CHRISTOPHER),Columbus (Christopher) #5,73' WEST OF CENTRAL AT THE SHELTER AT GLADYS,Passed testing - returned to normal push-button operation,
COLUMBUS (CHRISTOPHER),Columbus (Christopher) #6,"AT COMFORT STATION, SOUTH OF GOLF COURSE PARKING LOT",Passed testing - returned to normal push-button operation,
COLUMBUS (CHRISTOPHER),Columbus (Christopher) #7,"AT VAN BUREN PLAYGROUND, 200' WEST OF CENTRAL, 80' NORTH OF PARKING LOW",Passed testing - returned to normal push-button operation,
COLUMBUS (CHRISTOPHER),Columbus (Christopher) #8,"ON PATH THAT CONNECTS PARKING LOT WITH FIELDHOUSE, 90' WEST OF CENTRAL",Passed testing - returned to normal push-button operation,
COLUMBUS (CHRISTOPHER),Columbus (Christopher) #9,"ON SWIMMING POOL DECK, 15' NORTHEAST OF POOL FENCE, 100' FROM POOL BUILDING",Passed testing - returned to normal push-button operation,
COLUMBUS (CHRISTOPHER),Columbus (Christopher) #10,"BETWEEN SYNTHETIC BASEBALL AND FOOTBALL FIELDS, 35' NORTHWEST OF 1ST BASE LINE",Passed testing - returned to normal push-button operation,
COLUMBUS (CHRISTOPHER),Columbus (Christopher) #11,"AT HARRISON CTA STOP, 190' WEST OF CENTRAL",Passed testing - returned to normal push-button operation,
COMMERCIAL CLUB of CHICAGO,Commercial Club of Chicago #1,NORTH SIDE OF PLAYGROUND NEAR PARK ENTRANCE,Passed testing - returned to normal push-button operation,
COOPER (JACK),Cooper (Jack) #1,"SOUTH OF TENNIS COURTS, ON MULLIGAN",Passed testing - returned to normal push-button operation,
COOPER (JACK),Cooper (Jack) #2,PLAYGROUND,Fountain repaired - In flushing protocol,
CORNELL (PAUL),Cornell (Paul) #1,CENTER OF PARK,Inactive. Drainage/sewer repair needed.,
CORNELL (PAUL) SQUARE,Cornell (Paul) Square #1,ON POOL DECK,Passed testing - returned to normal push-button operation,
CORNELL (PAUL) SQUARE,Cornell (Paul) Square #2,IN FRONT OF FIELD HOUSE,Passed testing - returned to normal push-button operation,
